1649073600.0,46160.08000000,46890.71000000,45118.00000000,46580.51000000,27455.60726000,1649116799999
1649116800.0,46580.50000000,46884.49000000,46412.62000000,46683.37000000,12874.95947000,1649159999999
1649160000.0,46683.37000000,47200.00000000,45353.81000000,45497.55000000,29317.78905000,1649203199999
1649203200.0,45497.54000000,45507.14000000,44412.00000000,44819.19000000,21664.14134000,1649246399999
1649246400.0,44819.19000000,44999.99000000,43121.00000000,43170.47000000,39185.18802000,1649289599999
1649289600.0,43170.47000000,43834.52000000,42727.35000000,43766.74000000,18928.83641000,1649332799999
1649332800.0,43766.75000000,43900.99000000,43024.86000000,43444.19000000,18467.70515000,1649375999999
1649376000.0,43444.20000000,43970.62000000,43260.76000000,43298.79000000,13594.65350000,1649419199999
1649419200.0,43298.79000000,43961.99000000,42107.14000000,42252.01000000,28780.38853000,1649462399999
1649462400.0,42252.02000000,42640.00000000,42125.48000000,42445.10000000,9055.50852000,1649505599999
1649505600.0,42445.09000000,42800.00000000,42158.67000000,42753.97000000,8836.15195000,1649548799999
1649548800.0,42753.96000000,42896.64000000,42433.49000000,42680.36000000,6290.36292000,1649591999999
1649592000.0,42680.35000000,43410.30000000,41868.00000000,42158.85000000,16480.73111000,1649635199999
1649635200.0,42158.85000000,42414.71000000,40968.11000000,41067.63000000,26295.49578000,1649678399999
1649678400.0,41067.64000000,41246.61000000,39200.00000000,39530.45000000,37264.95143000,1649721599999
1649721600.0,39530.45000000,40464.00000000,39290.00000000,40378.00000000,24897.18662000,1649764799999
1649764800.0,40378.00000000,40699.00000000,39254.63000000,40074.94000000,32853.83116000,1649807999999
1649808000.0,40074.95000000,40275.00000000,39588.54000000,39722.64000000,13517.59808000,1649851199999
1649851200.0,39722.63000000,41561.31000000,39622.87000000,41147.79000000,27824.67446000,1649894399999
1649894400.0,41147.78000000,41500.00000000,40851.50000000,40919.99000000,13732.05945000,1649937599999
1649937600.0,40919.99000000,41300.00000000,39551.94000000,39942.38000000,23074.95456000,1649980799999
1649980800.0,39942.37000000,40449.96000000,39766.40000000,40220.00000000,12210.63102000,1650023999999
1650024000.0,40220.00000000,40870.36000000,39900.00000000,40551.90000000,11815.72637000,1650067199999
1650067200.0,40551.90000000,40709.35000000,40277.00000000,40416.95000000,6859.74463000,1650110399999
1650110400.0,40416.94000000,40699.55000000,39991.55000000,40378.71000000,8945.70255000,1650153599999
1650153600.0,40378.70000000,40529.79000000,40122.05000000,40464.77000000,5347.77689000,1650196799999
1650196800.0,40464.77000000,40595.67000000,39546.17000000,39678.12000000,14640.71570000,1650239999999
1650240000.0,39678.11000000,39896.98000000,38536.51000000,38998.54000000,20624.30923000,1650283199999
1650283200.0,38998.54000000,41116.73000000,38998.54000000,40801.13000000,33619.18652000,1650326399999
1650326400.0,40801.13000000,41263.43000000,40571.00000000,40687.30000000,13272.15716000,1650369599999
1650369600.0,40687.30000000,41760.00000000,40662.26000000,41493.18000000,22516.70127000,1650412799999
1650412800.0,41493.19000000,42199.00000000,41229.96000000,42090.00000000,17503.23987000,1650455999999
1650456000.0,42090.01000000,42173.38000000,40820.00000000,41358.19000000,23374.11054000,1650499199999
1650499200.0,41358.19000000,42690.00000000,41320.47000000,42440.00000000,22035.96260000,1650542399999
1650542400.0,42440.01000000,42976.00000000,39751.00000000,40480.01000000,37280.31397000,1650585599999
1650585600.0,40480.01000000,40795.06000000,40138.03000000,40585.54000000,20030.64338000,1650628799999
1650628800.0,40585.54000000,40640.00000000,39177.00000000,39709.18000000,26633.37622000,1650671999999
1650672000.0,39709.19000000,39872.64000000,39285.00000000,39602.93000000,10198.57327000,1650715199999
1650715200.0,39602.93000000,39980.00000000,39327.58000000,39441.60000000,10092.85048000,1650758399999
1650758400.0,39441.61000000,39828.00000000,39414.18000000,39609.11000000,8367.71627000,1650801599999
1650801600.0,39609.11000000,39940.00000000,38929.62000000,39450.13000000,18335.89559000,1650844799999
1650844800.0,39450.12000000,39500.84000000,38200.00000000,38832.29000000,27374.14620000,1650887999999
1650888000.0,38832.29000000,40616.00000000,38578.60000000,40426.08000000,35662.98164000,1650931199999
1650931200.0,40426.08000000,40797.31000000,40229.41000000,40467.03000000,17195.34592000,1650974399999
1650974400.0,40467.03000000,40625.00000000,37702.26000000,38112.65000000,49454.91208000,1651017599999
1651017600.0,38112.64000000,39221.65000000,37881.31000000,39017.19000000,23069.50299000,1651060799999
1651060800.0,39017.19000000,39474.72000000,38435.95000000,39235.72000000,34013.61973000,1651103999999
1651104000.0,39235.72000000,39882.38000000,39152.96000000,39679.31000000,17655.25062000,1651147199999
1651147200.0,39679.31000000,40372.63000000,38881.43000000,39742.07000000,38431.42088000,1651190399999
1651190400.0,39742.06000000,39925.25000000,38616.46000000,38749.54000000,19983.92630000,1651233599999
1651233600.0,38749.54000000,39406.37000000,38175.00000000,38596.11000000,31469.73085000,1651276799999
1651276800.0,38596.11000000,38795.38000000,38493.52000000,38580.01000000,10456.93771000,1651319999999
1651320000.0,38580.00000000,38638.38000000,37578.20000000,37630.80000000,24864.25218000,1651363199999
1651363200.0,37630.80000000,38165.12000000,37386.38000000,37942.78000000,16226.65234000,1651406399999
1651406400.0,37942.78000000,38675.00000000,37686.26000000,38468.35000000,22585.58870000,1651449599999
1651449600.0,38468.35000000,39167.34000000,38376.38000000,38528.77000000,18759.40280000,1651492799999
